Subj	Role	Melody	Partner	Elec	AlphaERD
S09	leader	diff	comp	cpl	-19.286
S09	leader	diff	comp	cpr	-8.881
S09	leader	diff	comp	po	-3.892
S09	follower	same	comp	fc	-1.350
S09	follower	same	comp	cpl	-11.657
S09	follower	same	comp	cpr	-3.249
S09	follower	same	comp	po	-9.912
S09	follower	diff	comp	fc	-11.305
S09	follower	diff	comp	cpl	-25.101
S09	follower	diff	comp	cpr	-10.178
S09	follower	diff	comp	po	-2.651
S10	leader	same	human	fc	-5.317
S10	leader	same	human	cpl	-0.689
S10	leader	same	human	cpr	6.741
S10	leader	same	human	po	-2.597
S10	leader	diff	human	fc	-0.116
S10	leader	diff	human	cpl	8.764
S10	leader	diff	human	cpr	12.911
S10	leader	diff	human	po	14.315
S10	follower	same	human	fc	10.063
S10	follower	same	human	cpl	-7.023
S10	follower	same	human	cpr	0.526
S10	follower	same	human	po	-9.344
S10	follower	diff	human	fc	-7.518
S10	follower	diff	human	cpl	-5.390
S10	follower	diff	human	cpr	-14.322
S10	follower	diff	human	po	-4.802
S10	leader	same	comp	fc	1.125
S10	leader	same	comp	cpl	5.424
S10	leader	same	comp	cpr	6.312
S10	leader	same	comp	po	-2.319
S10	leader	diff	comp	fc	-3.098
S10	leader	diff	comp	cpl	14.441
S10	leader	diff	comp	cpr	20.780
S10	leader	diff	comp	po	8.329
S10	follower	same	comp	fc	-27.071
S10	follower	same	comp	cpl	-0.798
S10	follower	same	comp	cpr	-9.757
S10	follower	same	comp	po	3.966
S10	follower	diff	comp	fc	11.185
S10	follower	diff	comp	cpl	14.934
S10	follower	diff	comp	cpr	6.734
S10	follower	diff	comp	po	18.525
S13	leader	same	human	fc	11.693
S13	leader	same	human	cpl	7.797
S13	leader	same	human	cpr	6.880
S13	leader	same	human	po	9.479
S13	leader	diff	human	fc	5.843
S13	leader	diff	human	cpl	8.912
S13	leader	diff	human	cpr	11.405
S13	leader	diff	human	po	8.727
S13	follower	same	human	fc	155.635
S13	follower	same	human	cpl	398.273
S13	follower	same	human	cpr	662.349
S13	follower	same	human	po	657.011
S13	follower	diff	human	fc	-7.532
S13	follower	diff	human	cpl	-30.544
S13	follower	diff	human	cpr	-18.495
S13	follower	diff	human	po	-6.507
S13	leader	same	comp	fc	-10.671
S13	leader	same	comp	cpl	-0.807
S13	leader	same	comp	cpr	-3.631
S13	leader	same	comp	po	-10.255
S13	leader	diff	comp	fc	18.849
S13	leader	diff	comp	cpl	12.290
S13	leader	diff	comp	cpr	16.349
S13	leader	diff	comp	po	2.054
S13	follower	same	comp	fc	-5.762
S13	follower	same	comp	cpl	-2.454
S13	follower	same	comp	cpr	5.240
S13	follower	same	comp	po	5.511
S13	follower	diff	comp	fc	-2.156
S13	follower	diff	comp	cpl	0.768
S13	follower	diff	comp	cpr	-19.101
S13	follower	diff	comp	po	-0.163
S14	leader	same	human	fc	-2.954
S14	leader	same	human	cpl	4.229
S14	leader	same	human	cpr	-5.827
S14	leader	same	human	po	3.601
S14	leader	diff	human	fc	4.289
S14	leader	diff	human	cpl	4.609
S14	leader	diff	human	cpr	-15.496
S14	leader	diff	human	po	5.845
S14	follower	same	human	fc	-14.608
S14	follower	same	human	cpl	4.254
S14	follower	same	human	cpr	-0.925
S14	follower	same	human	po	1.790
S14	follower	diff	human	fc	14.350
S14	follower	diff	human	cpl	-1.696
S14	follower	diff	human	cpr	4.139
S14	follower	diff	human	po	-1.751
S14	leader	same	comp	fc	1.725
S14	leader	same	comp	cpl	1.805
S14	leader	same	comp	cpr	9.027
S14	leader	same	comp	po	3.152
S14	leader	diff	comp	fc	15.593
S14	leader	diff	comp	cpl	0.422
S14	leader	diff	comp	cpr	-10.689
S14	leader	diff	comp	po	0.547
S14	follower	same	comp	fc	5.002
S14	follower	same	comp	cpl	9.730
S14	follower	same	comp	cpr	15.820
S14	follower	same	comp	po	10.687
S14	follower	diff	comp	fc	5.725
S14	follower	diff	comp	cpl	3.621
S14	follower	diff	comp	cpr	1.025
S14	follower	diff	comp	po	4.396
S17	leader	same	human	fc	-1.507
S17	leader	same	human	cpl	-4.691
S17	leader	same	human	cpr	3.284
S17	leader	same	human	po	7.032
S17	leader	diff	human	fc	-9.413
S17	leader	diff	human	cpl	-0.727
S17	leader	diff	human	cpr	-1.071
S17	leader	diff	human	po	14.314
S17	follower	same	human	fc	-34.224
S17	follower	same	human	cpl	0.283
S17	follower	same	human	cpr	22.800
S17	follower	same	human	po	0.370
S17	follower	diff	human	fc	16.226
S17	follower	diff	human	cpl	12.316
S17	follower	diff	human	cpr	22.878
S17	follower	diff	human	po	22.786
S17	leader	same	comp	fc	-6.898
S17	leader	same	comp	cpl	4.587
S17	leader	same	comp	cpr	-2.555
S17	leader	same	comp	po	0.551
S17	leader	diff	comp	fc	2.986
S17	leader	diff	comp	cpl	10.773
S17	leader	diff	comp	cpr	14.536
S17	leader	diff	comp	po	11.025
S17	follower	same	comp	fc	-0.123
S17	follower	same	comp	cpl	0.805
S17	follower	same	comp	cpr	-2.254
S17	follower	same	comp	po	4.483
S17	follower	diff	comp	fc	16.037
S17	follower	diff	comp	cpl	-1.273
S17	follower	diff	comp	cpr	24.201
S17	follower	diff	comp	po	15.272
S18	leader	same	human	fc	-5.653
S18	leader	same	human	cpl	-5.612
S18	leader	same	human	cpr	-6.397
S18	leader	same	human	po	0.913
S18	leader	diff	human	fc	-30.528
S18	leader	diff	human	cpl	5.749
S18	leader	diff	human	cpr	2.099
S18	leader	diff	human	po	1.013
S18	follower	same	human	fc	22.017
S18	follower	same	human	cpl	-6.435
S18	follower	same	human	cpr	4.634
S18	follower	same	human	po	-0.255
S18	follower	diff	human	fc	5.652
S18	follower	diff	human	cpl	-13.761
S18	follower	diff	human	cpr	5.463
S18	follower	diff	human	po	-40.729
S18	leader	same	comp	fc	-5.073
S18	leader	same	comp	cpl	-2.555
S18	leader	same	comp	cpr	0.305
S18	leader	same	comp	po	-3.951
